Event_ID,Timestamp_Local,Rain_ISCO_Raw_mm,Rain_SWMM_Primary_mm,Rain_SWMM_Primary_in,Rain_Gauge_mm,Rain_Fill_Flag,Depth_m,Depth_ft,Velocity_m_s,Velocity_ft_s,Flow_CMS,Flow_LPS,Flow_CFS,Flow_GPM,Flow_MGD,Flow_MLD,Original_QC,Instrument_Status,Score_Group,Use_for_Score,Calibration_File_Eligible,Notes,Model_Flow_CMS,Model_Depth_m,Model_Velocity_m_s,Hours_From_Rainfall_Onset,Observed_Excess_CMS,Modeled_Excess_CMS
E01,2024-06-11 07:10:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.062,0.2034120734908134,0.49,1.6076115485564286,0.0094461126439731,9.446112643973189,0.3335863198355526,149.72393783788007,0.2156024695752509,0.8161441324392835,OK,ACTIVE,CALIBRATION,1,1,,0.0,3.0479999230010435e-05,0.0,-0.25,6.747223317120007e-05,0.0
E01,2024-06-11 07:15:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.062,0.2034120734908134,0.49,1.6076115485564286,0.0094461126439731,9.446112643973189,0.3335863198355526,149.72393783788007,0.2156024695752509,0.8161441324392835,OK,ACTIVE,CALIBRATION,1,1,,0.0,3.0479999230010435e-05,0.0,-0.16666666666666666,6.747223317120007e-05,0.0
E01,2024-06-11 07:20:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.062,0.2034120734908134,0.473,1.5518372703412056,0.00911839036857,9.118390368570038,0.3220129169024824,144.52943387207608,0.2081223838961096,0.7878289278444514,OK,ACTIVE,CALIBRATION,1,1,,0.0,3.0479999230010435e-05,0.0,-0.08333333333333333,0.0,0.0
E01,2024-06-11 07:25:00,0.0,0.25,0.0,0.25,ORIGINAL_ISCO,0.062,0.2034120734908134,0.476,1.561679790026245,0.0091762237112882,9.17622371128824,0.3240552821259654,145.4461110425121,0.209442399015958,0.7928257286553041,OK,ACTIVE,CALIBRATION,1,1,,0.0,3.0479999230010435e-05,0.0,0.0,0.0,0.0
E01,2024-06-11 07:30:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.062,0.2034120734908134,0.477,1.5649606299212582,0.0091955014921943,9.195501492194309,0.3247360705337931,145.75167009932406,0.2098824040559075,0.7944913289255883,OK,ACTIVE,CALIBRATION,1,1,,0.0003784371310158706,0.009362815926969052,0.30106321864128116,0.08333333333333333,0.0,0.0003784371310158706
E01,2024-06-11 07:35:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.062,0.2034120734908134,0.492,1.614173228346455,0.0094846682057853,9.484668205785324,0.334947896651208,150.33505595150407,0.2164824796551499,0.8194753329798521,OK,ACTIVE,CALIBRATION,1,1,,0.000913749599932251,0.014635038515925408,0.4031880352020264,0.16666666666666666,0.00010602779498340015,0.000913749599932251
E01,2024-06-11 07:40:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.063,0.2066929133858265,0.492,1.614173228346455,0.0097117216435937,9.711721643593783,0.342966213135382,153.93392631115415,0.2216648529511415,0.8390927500065031,OK,ACTIVE,CALIBRATION,1,1,,0.0007456429042164373,0.013203338795900346,0.3783561570167542,0.25,0.0003330812327918004,0.0007456429042164373
E01,2024-06-11 07:45:00,0.0,0.25,0.0,0.25,ORIGINAL_ISCO,0.063,0.2066929133858265,0.495,1.6240157480314945,0.0097709394584937,9.77093945849375,0.345057470532549,154.87254781305143,0.2230164679081607,0.84420916921386,OK,ACTIVE,CALIBRATION,1,1,,0.0006922091418607349,0.012723535233736039,0.3691242713928223,0.3333333333333333,0.00039229904769180063,0.0006922091418607349
E01,2024-06-11 07:50:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.067,0.219816272965879,0.544,1.7847769028871374,0.0117607073697517,11.760707369751785,0.415325461171739,186.41101218305693,0.2684318564090093,1.016125116746554,OK,ACTIVE,CALIBRATION,1,1,,0.0011394684564546376,0.016390141233801843,0.4299072255134583,0.4166666666666667,0.0023820669589498,0.0011394684564546376
E01,2024-06-11 07:55:00,0.0,0.25,0.0,0.25,ORIGINAL_ISCO,0.073,0.2395013123359577,0.543,1.7814960629921242,0.0133231250450346,13.323125045034642,0.4705017206541161,211.17583721826423,0.3040932043089766,1.1511180038909932,OK,ACTIVE,CALIBRATION,1,1,,0.002187289792653408,0.02218922744393349,0.5232051280975342,0.5,0.003944484634232699,0.002187289792653408
