r,Node_ID,Sensor_Index,pivot_order,Energy_Weighted_Modal_Exposure,Baseline_Systemwise_Mean_NSE,Dropout_Systemwise_Mean_NSE,Delta_Systemwise_Mean_NSE,Delta_Systemwise_Mean_NSE_z,Energy_Weighted_Modal_Exposure_z
2,J297,60,1,0.05932988111790699,0.7932380590179744,0.1628956640788718,0.6303423949391025,1.0000000000000002,1.0000000000000004
2,OF-02,72,2,0.039850625123530305,0.7932380590179744,0.631957053287101,0.16128100573087337,-1.0,-0.9999999999999997
3,J297,60,1,0.059417182475815095,0.7998788484986383,0.7391345876922621,0.06074426080637617,-0.9432904958982891,0.6075299672716659
3,J304,62,2,0.06131024900630265,0.7998788484986383,0.7189363134695053,0.08094253502913296,-0.44085257684879364,0.8022099275398982
3,OF-02,72,3,0.0398012648764413,0.7998788484986383,0.6455705080868022,0.1543083404118362,1.3841430727470834,-1.409739894811564
4,J297,60,1,0.061171598427610364,0.8570355313941064,0.5322604113166854,0.32477512007742093,0.6976456504194668,1.3361805887736657
4,OF-04,74,2,0.04752686066196538,0.8570355313941064,0.47754793228030595,0.3794875991138004,1.1004978443341287,0.3332457529234004
4,OF-02,72,3,0.039743439521808296,0.8570355313941064,0.6696016206814327,0.18743391071267365,-0.3136082441571698,-0.23886228884576527
4,120,20,4,0.023530563586626703,0.8570355313941064,0.8286284803105239,0.028407051083582376,-1.4845352505964258,-1.4305640528513004
5,J297,60,1,0.06092969382167772,0.9180299678325625,0.7701805588603126,0.14784940897225005,-0.10372143606619227,1.0494844307663185
5,J304,62,2,0.06096575139574812,0.9180299678325625,0.47098316350415276,0.4470468043284097,1.8718379302141086,1.0511190028755646
5,OF-03,73,3,0.0038467093956198,0.9180299678325625,0.9149628668835177,0.003067100949044931,-1.059699158888417,-1.5382175059528727
5,OF-02,72,4,0.03967313186488609,0.9180299678325625,0.7723453335480629,0.14568463428449965,-0.11801514642814565,0.08587597376925307
5,120,20,5,0.02347853839044485,0.9180299678325625,0.8438880951068599,0.07414187272570276,-0.5904021888313533,-0.6482619014582631
6,J297,60,1,0.060882259610225836,0.8726483002919806,0.7651543232949765,0.10749397699700441,0.014070839814352677,1.2150486006406422
6,OF-03,73,2,0.004089527411609287,0.8726483002919806,0.8750012757407376,-0.002352975448756904,-0.8485644317484605,-1.195281121729059
6,J304,62,3,0.06089279059671917,0.8726483002919806,0.515824057285232,0.35682424300674875,1.972077656929684,1.2154955442682525
6,OF-02,72,4,0.03962973440631618,0.8726483002919806,0.7305822422216817,0.14206605807029904,0.28556764406004836,0.3130741544166503
6,J305,71,5,0.004574607637450657,0.8726483002919806,0.9065803465210507,-0.033932046229069826,-1.0965569312374865,-1.174693922613681
6,120,20,6,0.023449144022272026,0.8726483002919806,0.8085342790347726,0.06411402125720814,-0.32659477781813684,-0.3736432549828053
7,J297,60,1,0.06081867822316519,0.9349460683835186,0.8405763311078905,0.09436973727562778,-0.1315915698228478,1.3993109627086722
7,OF-03,73,2,0.004151898278375114,0.9349460683835186,0.8917620869279611,0.04318398145555741,-0.5603260745979315,-0.9272162125917418
7,J304,62,3,0.060841419943453164,0.9349460683835186,0.5499133158268826,0.3850327525566358,2.3030166901585756,1.400244653140961
7,J305,71,4,0.004709419499362447,0.9349460683835186,0.9126298766499678,0.022316191733550757,-0.7351157470150965,-0.9043264653236344
